#
# WHOIS Servers List
# Last updated on 21/06/2019
#

bugatti whois.nic.bugatti
build whois.nic.build
build whois.nic.build
builders whois.donuts.co
builders whois.donuts.co
business whois.donuts.co
business whois.donuts.co
buy whois.nic.buy
buzz whois.nic.buzz
bw whois.nic.net.bw
bw whois.nic.net.bw
by whois.cctld.by
by whois.cctld.by
bz whois.belizenic.bz
bz whois.afilias-grs.info
bzh whois-bzh.nic.fr
ca whois.cira.ca
ca whois.cira.ca
cab whois.donuts.co
cab whois.donuts.co
cafe whois.donuts.co
cafe whois.donuts.co
cal domain-registry-whois.l.google.com
call whois.nic.call
calvinklein whois.nic.calvinklein
cam whois.nic.cam
cam whois.nic.cam
camera whois.donuts.co
camera whois.donuts.co
camp whois.donuts.co
camp whois.donuts.co
cancerresearch whois.nic.cancerresearch
canon whois.nic.canon
capetown capetown-whois.registry.net.za
capital whois.donuts.co
capital whois.donuts.co
capitalone whois.nic.capitalone
car whois.nic.car
car whois.nic.car
caravan whois.nic.caravan
cards whois.donuts.co
cards whois.donuts.co
care whois.donuts.co
care whois.donuts.co
career whois.nic.career
careers whois.donuts.co
careers whois.donuts.co
cars whois.nic.cars
cars whois.nic.cars
cartier whois.nic.cartier
casa whois.nic.casa
casa whois-dub.mm-registry.com
case whois.nic.case
caseih whois.nic.caseih
cash whois.donuts.co
cash whois.donuts.co
casino whois.donuts.co
casino whois.donuts.co
cat whois.cat
cat whois.cat
catering whois.donuts.co
catering whois.donuts.co
catholic whois.nic.catholic
cba whois.nic.cba
cbn whois.nic.cbn
cbre whois.nic.cbre
cbs whois.nic.cbs
cc whois.nic.cc
cc ccwhois.verisign-grs.com
cd whois.nic.cd.
cd whois.nic.cd
ceb whois.nic.ceb
center whois.donuts.co
center whois.donuts.co
ceo whois.nic.ceo
ceo whois.nic.ceo
cern whois.afilias-srs.net
cf whois.dot.cf
cf whois.dot.cf
cfa whois.nic.cfa
cfd whois.nic.cfd
ch whois.nic.ch
ch whois.nic.ch
chanel whois.nic.chanel
channel domain-registry-whois.l.google.com
charity whois.nic.charity
chase whois.nic.chase
chat whois.donuts.co
chat whois.donuts.co
cheap whois.donuts.co
cheap whois.donuts.co
chintai whois.nic.chintai
christmas whois.uniregistry.net
christmas whois.uniregistry.net
chrome domain-registry-whois.l.google.com
chrysler whois.nic.chrysler
church whois.donuts.co
church whois.donuts.co
ci whois.nic.ci
ci whois.nic.ci
cipriani whois.nic.cipriani
